"book_name","editor","org_name","publisher","publish_date","period","edu_level","category"
"数字电路逻辑设计(第2版)（附光盘）","王毓银","北京联合大学","高等教育出版社",,"十五","本科",
"数字电子技术基础（第5版）","阎石","清华大学","高等教育出版社",,"十五","本科",
"数字逻辑与数字系统设计","王永军","东北大学","高等教育出版社",,"十五","本科",
"微机控制技术(第2版)","杨宁","北华大学","高等教育出版社",,"十五","本科",
"微生物学（第2版）","沈萍、陈向东","武汉大学","高等教育出版社",,"十五","本科",
"文艺美学教程","曾繁仁","山东大学","高等教育出版社",,"十五","本科",
"无机化学（第5版）","迟玉兰","大连理工大学","高等教育出版社",,"十五","本科",
"无机及分析化学(第4版)","陈荣三","南京大学","高等教育出版社",,"十五","本科",
"舞蹈编导学","金秋","北京师范大学","高等教育出版社",,"十五","本科",
"物理化学（第4版）（下册）","傅献彩","南京大学","高等教育出版社",,"十五","本科",
"先进制造技术","宾鸿赞、王润孝","华中科技大学","高等教育出版社",,"十五","本科",
"现代地貌学","高抒","南京大学","高等教育出版社",,"十五","本科",
"现代工程技术培训","傅水根","清华大学","高等教育出版社",,"十五","本科",
"现代机械工程图学（第2版）","蒋寿伟","上海交通大学","高等教育出版社",,"十五","本科",
"现代教育技术","程士钧","嘉应学院","高等教育出版社",,"十五","本科",
"现代实用写作训练教程","董小玉","西南师范大学","高等教育出版社",,"十五","本科",
"项目评估","张少杰","吉林大学","高等教育出版社",,"十五","本科",
"新编基础物理实验","吕斯骅","北京大学","高等教育出版社",,"十五","本科",
"新大学俄语科技阅读教程","董宗杰","大连理工大学","高等教育出版社",,"十五","本科",
"新大学俄语语法教程","马步宁","北京航空航天大学","高等教育出版社",,"十五","本科",
"新概念物理教程热学（第2版）","赵凯华","北京大学","高等教育出版社",,"十五","本科",
"新世纪标准大学英语教程","罗立胜、RonaldCarter","清华大学","高等教育出版社",,"十五","本科",
"新世纪体育－－现代体育与健康文化导论","郑厚成","大连海事大学","高等教育出版社",,"十五","本科",
"选举的理论与制度","王浦劬","北京大学","高等教育出版社",,"十五","本科",
"医学俄语","马华","哈尔滨医科大学","高等教育出版社",,"十五","本科",
"音乐鉴赏","王耀华等","福建师范大学","高等教育出版社",,"十五","本科",
"英语教学法教程（第2版）","王蔷","北京师范大学","高等教育出版社",,"十五","本科",
"英语口译教程(上、下)(附光盘)","仲伟合","广东外语外贸大学","高等教育出版社",,"十五","本科",
